air_date,season,episode_overall,episode_in_season,song,original_artist,genre,original_release_year,years_since_release,performed_by,is_cameo,duet_with,version_covered,rerun,video_id,video_url,video_source,video_title,video_views,video_seconds
2020-09-24,2,184,4,Tennessee Whiskey,Chris Stapleton,Country,1981,39,Kelly Clarkson,no,,,no,vgHRAU-Zc9A,https://www.youtube.com/watch?v=vgHRAU-Zc9A,KC Videos archive,Kellyoke | Tennessee Whiskey (Chris Stapleton),1200000,105
2020-09-25,2,185,5,Confident,Demi Lovato,Pop,2015,5,Kelly Clarkson,no,,,no,DG-eccOD2hM,https://www.youtube.com/watch?v=DG-eccOD2hM,KC Videos archive,Kellyoke | Confident (Demi Lovato),124000,105
2020-09-28,2,186,6,Perfect,Ed Sheeran,Pop,2017,3,Kelly Clarkson,no,,,no,kDnrn96D1KA,https://www.youtube.com/watch?v=kDnrn96D1KA,KC Videos archive,Kellyoke | Perfect (Ed Sheeran),229000,108
2020-09-29,2,187,7,Dreaming of You,Selena,Pop,1995,25,Kelly Clarkson,no,,,no,_0tbaHRGB8c,https://www.youtube.com/watch?v=_0tbaHRGB8c,KC Videos archive,Kellyoke | Dreaming of You (Selena),271000,112
2020-09-30,2,188,8,Adorn,Miguel,R&B / Soul,2012,8,Kelly Clarkson,no,,,no,rUCFRLKSzTw,https://www.youtube.com/watch?v=rUCFRLKSzTw,KC Videos archive,Kellyoke | Adorn (Miguel),8800,104
2020-10-01,2,189,9,Closer,Tegan and Sara,Pop,2012,8,Kelly Clarkson,no,,,no,Nd-dgHxo9Vk,https://www.youtube.com/watch?v=Nd-dgHxo9Vk,KC Videos archive,Kellyoke | Closer (Tegan and Sara),42000,103
2020-10-02,2,190,10,Love Shack,The B-52's,Rock,1989,31,Kelly Clarkson,no,,,no,BMnPHqayu9s,https://www.youtube.com/watch?v=BMnPHqayu9s,KC Videos archive,Kellyoke | Love Shack (B-52s),14000,96
2020-10-05,2,191,11,My Future,Billie Eilish,Pop,2020,0,Kelly Clarkson,no,,,no,nhYyH75FuWM,https://www.youtube.com/watch?v=nhYyH75FuWM,KC Videos archive,Kellyoke | My Future (Billie Eilish),19000,103
2020-10-06,2,192,12,The First Cut Is the Deepest,Sheryl Crow,Pop,1967,53,Kelly Clarkson,no,,,no,Z4tiXyNbypo,https://www.youtube.com/watch?v=Z4tiXyNbypo,KC Videos archive,Kellyoke | The First Cut Is the Deepest (Cat Stevens),22000,79
2020-10-07,2,193,13,Ring of Fire,Johnny Cash,Country,1963,57,Kelly Clarkson,no,,,no,j8O6L8_Q-tE,https://www.youtube.com/watch?v=j8O6L8_Q-tE,KC Videos archive,Kellyoke | Ring of Fire (Johnny Cash),70000,96
2020-10-08,2,194,14,Don't Start Now,Dua Lipa,Electronic,2019,1,Kelly Clarkson,no,,,no,eZLy10hUZiE,https://www.youtube.com/watch?v=eZLy10hUZiE,KC Videos archive,Kellyoke | Don't Start Now (Dua Lipa),92000,95
2020-10-09,2,195,15,I Can't Make You Love Me,Bonnie Raitt,Pop,1991,29,Kelly Clarkson,no,,,no,OUJqjs4TdDI,https://www.youtube.com/watch?v=OUJqjs4TdDI,KC Videos archive,Kellyoke | I Can't Make You Love Me (Bonnie Raitt),40000,106
2020-10-12,2,196,16,Criminal,Fiona Apple,Jazz / Blues,1997,23,Kelly Clarkson,no,,,no,H28E3Att2hI,https://www.youtube.com/watch?v=H28E3Att2hI,KC Videos archive,Kellyoke | Criminal (Fiona Apple),48000,102
2020-10-13,2,197,17,The Scientist,Coldplay,Rock,2002,18,Kelly Clarkson,no,,,no,BPLj0xN2Y_4,https://www.youtube.com/watch?v=BPLj0xN2Y_4,KC Videos archive,Kellyoke | The Scientist (Coldplay),134000,98
2020-10-14,2,198,18,No One Needs to Know,Shania Twain,Country,1996,24,Kelly Clarkson,no,,,no,Z4EZFmFqrMs,https://www.youtube.com/watch?v=Z4EZFmFqrMs,KC Videos archive,Kellyoke | No One Needs To Know (Shania Twain),61000,103
2020-10-15,2,199,19,Dancing in the Dark,Bruce Springsteen,Rock,1972,48,Kelly Clarkson,no,,,no,7hNx1JIrHTk,https://www.youtube.com/watch?v=7hNx1JIrHTk,KC Videos archive,Kellyoke | Dancing in the Dark (Bruce Springsteen),52000,102
